NAICS	PARTNER	STATE	Y_2010	Y_2011	Y_2012	Y_2013	Y_2014	Y_2015
111--AGRICULTURAL PRODUCTS	Austria	Arizona	0	3000	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	California	6919230	2698406	2807905	20637365	11229333	7133573
111--AGRICULTURAL PRODUCTS	Austria	Colorado	27507	72451	0	107226	22045	29420
111--AGRICULTURAL PRODUCTS	Austria	Connecticut	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Delaware	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Florida	5000	0	85100	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Georgia	34800	58915	5100	3878	3937	16441
111--AGRICULTURAL PRODUCTS	Austria	Idaho	0	30886	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Illinois	2421062	6543409	960208	6721672	4159580	238089
111--AGRICULTURAL PRODUCTS	Austria	Indiana	1739997	7675	40238	0	25850	0
111--AGRICULTURAL PRODUCTS	Austria	Iowa	59149	9456702	24409801	11974791	923948	0
111--AGRICULTURAL PRODUCTS	Austria	Kansas	0	4600	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Kentucky	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Louisiana	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Maine	8785	10703	0	0	7851	4992
111--AGRICULTURAL PRODUCTS	Austria	Maryland	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Massachusetts	0	0	0	0	3242	0
111--AGRICULTURAL PRODUCTS	Austria	Michigan	38540	0	6425	33000	42975	32800
111--AGRICULTURAL PRODUCTS	Austria	Minnesota	178229	198992	47000	29618	875774	2490118
111--AGRICULTURAL PRODUCTS	Austria	Missouri	0	18533	0	0	0	13257
111--AGRICULTURAL PRODUCTS	Austria	Montana	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Nebraska	11250	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Nevada	0	0	0	0	0	5500
111--AGRICULTURAL PRODUCTS	Austria	New Jersey	0	3100	0	4717	0	0
111--AGRICULTURAL PRODUCTS	Austria	New Mexico	8740	0	3541	4887	0	3450
111--AGRICULTURAL PRODUCTS	Austria	New York	136316	0	0	13750	0	612310
111--AGRICULTURAL PRODUCTS	Austria	North Carolina	3346831	169892	4120	3332	33976	0
111--AGRICULTURAL PRODUCTS	Austria	North Dakota	36096	0	0	24024	60509	0
111--AGRICULTURAL PRODUCTS	Austria	Ohio	14400	6425	0	6424	0	0
111--AGRICULTURAL PRODUCTS	Austria	Oklahoma	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Oregon	0	0	0	0	0	24650
111--AGRICULTURAL PRODUCTS	Austria	Pennsylvania	14934	21201	9322	83397	25581	0
111--AGRICULTURAL PRODUCTS	Austria	South Carolina	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	South Dakota	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Tennessee	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Texas	485998	52000	19990	188813	178886	168817
111--AGRICULTURAL PRODUCTS	Austria	Unknown	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Utah	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Vermont	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Austria	Virginia	25000	0	0	0	0	3112
111--AGRICULTURAL PRODUCTS	Austria	Washington	66035	70800	31512	25087	79795	21324
111--AGRICULTURAL PRODUCTS	Austria	Wisconsin	0	160871	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	Alabama	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Belgium	Arizona	1095450	2578629	3127328	1006425	1293900	1575300
